Comparation set,Ranking Popularity,City,Identity,Category,Primary tags,Name provider,Id,URL,Secondary tags,Cancellation,Availability,Language
5,3,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,skip; ticket; tour,Getyourguide,1103,https://www.getyourguide.com/rome-l33/skip-the-line-vatican-museums-sistine-chapel-st-peter-s-t1103/,instant; mobile ,,,
5,3,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,skip; ticket; tour,Musement,0f5f2ac8-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/uk/rome/essential-vatican-tour-museums-st-peter-s-and-sistine-chapel-with-skip-the-line-tickets-776/,instant; mobile ,,,
5,3,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,skip; ticket; tour,CityDiscovery,3640,http://www.city-discovery.com/trackingAffiliate.php?tour=3640&affiliateID=4880LOCAL,instant; mobile ,,,
5,3,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,skip; ticket; tour,Ceetiz,,https://partners.ceetiz.com/lien/3317/443/go,instant; mobile ,,,
5,3,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,skip; ticket; tour,Headout,3161,https://www.headout.com/tour/3161/italy/rome/skip-the-line-tour-of-vatican-museums-sistine-chapel-st-peter-s-basilica,instant; mobile ,,,
5,3,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,skip; ticket; tour,Expedia,,"https://www.expedia.ie/things-to-do/skip-the-line-vatican-museums-sistine-chapel-tour.a166524.activity-details?srp=true&location=Rome,%20Italy&latLong=41.903755,12.479556",instant; mobile ,,,
6,4,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",8,skip; ticket; ,Viator,3731SKIP,http://www.partner.viator.com/en/23271/tours/Rome/Skip-the-Line-Vatican-Museums-Tickets/d511-3731SKIP,instant; mobile ,,,
6,4,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",8,skip; ticket; ,Getyourguide,62214,https://www.getyourguide.com/rome-l33/skip-the-line-vatican-museums-sistine-chapel-ticket-t62214/,instant; mobile ,,,
6,4,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",8,skip; ticket; ,Musement,0f54ca01-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/uk/rome/vatican-museums-and-sistine-chapel-skip-the-line-tickets-512/,instant; mobile ,,,
6,4,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",8,skip; ticket; ,CityDiscovery,13152,http://www.city-discovery.com/trackingAffiliate.php?tour=13152&affiliateID=4880LOCAL,instant; mobile ,,,
6,4,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",8,skip; ticket; ,Tiqets,973975,https://www.tiqets.com/en/rome-c71631/vatican-museums-sistine-chapel-skip-the-line-p973975,instant; mobile ,,,
6,4,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",8,skip; ticket; ,Ceetiz,,https://www.ceetiz.com/rome/vatican-museums-sistine-chapel-skip-the-line-tickets,mobile ,,,
6,4,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",8,skip; ticket; ,Headout,6732,https://www.headout.com/tour/6732/italy/rome/skip-the-line-vatican-museums-and-sistine-chapel-tickets,instant; mobile ,,,
